text_id,input_doc,GPT-4o_MA
0,I got the red version of this cover and I love it!! It works in every program I use.  I love the 360 turn radius.  It is a great quality and very sturdy.  All those that said it broke must have abused it because I am not really super careful with turning it and mine is great!!!,"```json
[
    {
        ""group_id"": 1,
        ""sentences"": [
            ""I got the red version of this cover and I love it!!""
        ],
        ""aspect_term"": ""red version"",
        ""opinion_term"": [
            ""love it!!""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": 5,
        ""category"": ""laptop design_features""
    },
    {
        ""group_id"": 2,
        ""sentences"": [
            ""It works in every program I use.""
        ],
        ""aspect_term"": ""software compatibility"",
        ""opinion_term"": [
            ""works in every""
        ],
        ""sentiment_polarity"": ""neutral"",
        ""sentiment_intensity_score"": 0,
        ""category"": ""software operation_performance""
    },
    {
        ""group_id"": 3,
        ""sentences"": [
            ""I love the 360 turn radius.""
        ],
        ""aspect_term"": ""360 turn radius"",
        ""opinion_term"": [
            ""love""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": 4,
        ""category"": ""hardware design_features""
    },
    {
        ""group_id"": 4,
        ""sentences"": [
            ""It is a great quality and very sturdy.""
        ],
        ""aspect_term"": ""quality"",
        ""opinion_term"": [
            ""great quality"",
            ""very sturdy""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": 5,
        ""category"": ""hardware quality""
    },
    {
        ""group_id"": 5,
        ""sentences"": [
            ""All those that said it broke must have abused it because I am not really super careful with turning it and mine is great!!!""
        ],
        ""aspect_term"": ""durability"",
        ""opinion_term"": [
            ""mine is great!!!""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": 5,
        ""category"": ""hardware quality""
    }
]
```"
1,"I was going on a trip to Japan, and so was anxious to get the 2 lb. Eee-pc rather than lugging around my 7 lb Lenovo.  For the most part the eee-pc worked fine.  It boots quickly, has a good user interface (except the file manager takes some getting used to), connects to the Internet (wire or wireless like a charm). However, I don't like Mozilla as a browser because it doesn't provide some of the services when used with Microsoft exchange server mail I tried and failed to find and install an alternative browser like Netscape.  Also, I needed a SFTP program, and failed to find one I could install. I guess I just don't get along well with Linux when it goes beyond pre-installed software.

The software included with the Eee-PC is worth the price of the machine itself -- The word processor opens and writes almost every format, the Presenter Program is compatible with PowerPoint, although has a limited number of designs (2).  However, when I hooked the machine to an LCD projector we could get the screen to switch resolutions to give a full projection (may have been my lack of understanding, but we had to switch the presentation to a full-size laptop).  I wanted to install the Open Office Database, but could figure out how to do that.

All the USB peripherals I used with the Eee-PC worked fine, including an HP all-in-one printer, external USB hard disk, and USB mouse.  The weakest part of the machine and the reason I returned it, was the keyboard and the mouse buttons on the touch pad.  The USB mouse solved the mouse button problem, but the keyboard was annoying, often missing letters or adding in double letters (bounce).  I could have used a USB keyboard but that defeats the purpose of buying a 2 lb machine. So, I understand there is a slightly larger format machine coming out in the summer -- maybe that will do the trick if they can keep the weight down and install a Windows XP operating system, I'd buy it.","[
    {
        ""group_id"": 1,
        ""sentences"": [
            ""I was going on a trip to Japan, and so was anxious to get the 2 lb. Eee-pc rather than lugging around my 7 lb Lenovo."",
            ""For the most part the eee-pc worked fine."",
            ""It boots quickly, has a good user interface (except the file manager takes some getting used to), connects to the Internet (wire or wireless like a charm).""
        ],
        ""aspect_term"": ""Eee-PC"",
        ""opinion_term"": [
            ""anxious"",
            ""worked fine"",
            ""boots quickly"",
            ""good user interface"",
            ""like a charm""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": ""3"",
        ""category"": ""laptop operation_performance""
    },
    {
        ""group_id"": 2,
        ""sentences"": [
            ""However, I don't like Mozilla as a browser because it doesn't provide some of the services when used with Microsoft exchange server mail I tried and failed to find and install an alternative browser like Netscape.""
        ],
        ""aspect_term"": ""Mozilla"",
        ""opinion_term"": [
            ""don't like"",
            ""failed to find""
        ],
        ""sentiment_polarity"": ""negative"",
        ""sentiment_intensity_score"": ""-3"",
        ""category"": ""software usability""
    },
    {
        ""group_id"": 3,
        ""sentences"": [
            ""Also, I needed a SFTP program, and failed to find one I could install.""
        ],
        ""aspect_term"": ""SFTP program"",
        ""opinion_term"": [
            ""failed to find""
        ],
        ""sentiment_polarity"": ""negative"",
        ""sentiment_intensity_score"": ""-3"",
        ""category"": ""software usability""
    },
    {
        ""group_id"": 4,
        ""sentences"": [
            ""I guess I just don't get along well with Linux when it goes beyond pre-installed software.""
        ],
        ""aspect_term"": ""Linux"",
        ""opinion_term"": [
            ""don't get along well""
        ],
        ""sentiment_polarity"": ""negative"",
        ""sentiment_intensity_score"": ""-2"",
        ""category"": ""os usability""
    },
    {
        ""group_id"": 5,
        ""sentences"": [
            ""The software included with the Eee-PC is worth the price of the machine itself -- The word processor opens and writes almost every format, the Presenter Program is compatible with PowerPoint, although has a limited number of designs (2).""
        ],
        ""aspect_term"": ""software"",
        ""opinion_term"": [
            ""worth the price"",
            ""opens and writes almost every format"",
            ""compatible with PowerPoint"",
            ""limited number of designs""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": ""2"",
        ""category"": ""software quality""
    },
    {
        ""group_id"": 6,
        ""sentences"": [
            ""However, when I hooked the machine to an LCD projector we could get the screen to switch resolutions to give a full projection (may have been my lack of understanding, but we had to switch the presentation to a full-size laptop).""
        ],
        ""aspect_term"": ""LCD projector"",
        ""opinion_term"": [
            ""full projection"",
            ""may have been my lack of understanding""
        ],
        ""sentiment_polarity"": ""neutral"",
        ""sentiment_intensity_score"": ""0"",
        ""category"": ""multimedia_devices operation_performance""
    },
    {
        ""group_id"": 7,
        ""sentences"": [
            ""I wanted to install the Open Office Database, but could figure out how to do that.""
        ],
        ""aspect_term"": ""Open Office Database"",
        ""opinion_term"": [
            ""could figure out""
        ],
        ""sentiment_polarity"": ""negative"",
        ""sentiment_intensity_score"": ""-2"",
        ""category"": ""software usability""
    },
    {
        ""group_id"": 8,
        ""sentences"": [
            ""All the USB peripherals I used with the Eee-PC worked fine, including an HP all-in-one printer, external USB hard disk, and USB mouse.""
        ],
        ""aspect_term"": ""USB peripherals"",
        ""opinion_term"": [
            ""worked fine""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": ""2"",
        ""category"": ""hardware usability""
    },
    {
        ""group_id"": 9,
        ""sentences"": [
            ""The weakest part of the machine and the reason I returned it, was the keyboard and the mouse buttons on the touch pad."",
            ""The USB mouse solved the mouse button problem, but the keyboard was annoying, often missing letters or adding in double letters (bounce).""
        ],
        ""aspect_term"": ""keyboard"",
        ""opinion_term"": [
            ""weakest part"",
            ""annoying"",
            ""missing letters"",
            ""adding in double letters""
        ],
        ""sentiment_polarity"": ""negative"",
        ""sentiment_intensity_score"": ""-4"",
        ""category"": ""keyboard usability""
    },
    {
        ""group_id"": 10,
        ""sentences"": [
            ""I could have used a USB keyboard but that defeats the purpose of buying a 2 lb machine.""
        ],
        ""aspect_term"": ""USB keyboard"",
        ""opinion_term"": [
            ""defeats the purpose""
        ],
        ""sentiment_polarity"": ""negative"",
        ""sentiment_intensity_score"": ""-2"",
        ""category"": ""hardware usability""
    },
    {
        ""group_id"": 11,
        ""sentences"": [
            ""So, I understand there is a slightly larger format machine coming out in the summer -- maybe that will do the trick if they can keep the weight down and install a Windows XP operating system, I'd buy it.""
        ],
        ""aspect_term"": ""Windows XP operating system"",
        ""opinion_term"": [
            ""do the trick"",
            ""I'd buy it""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": ""2"",
        ""category"": ""os general""
    }
]"
2,Do not buy!!!  Started using Oct 2nd of 2015.  December 5th 2015 during normal charging use ...adapter sparked and burned hole in cord.  Almost caused a fire.  Thank God my daughter was not hurt.  Garbage!!!!!,"```json
[
    {
        ""group_id"": 1,
        ""sentences"": [
            ""December 5th 2015 during normal charging use ...adapter sparked and burned hole in cord."",
            ""Almost caused a fire.""
        ],
        ""aspect_term"": ""adapter"",
        ""opinion_term"": [
            ""sparked"",
            ""burned hole""
        ],
        ""sentiment_polarity"": ""negative"",
        ""sentiment_intensity_score"": -5,
        ""category"": ""power_supply operation_performance""
    },
    {
        ""group_id"": 2,
        ""sentences"": [
            ""Almost caused a fire.""
        ],
        ""aspect_term"": ""fire risk"",
        ""opinion_term"": [
            ""Almost caused""
        ],
        ""sentiment_polarity"": ""negative"",
        ""sentiment_intensity_score"": -4,
        ""category"": ""power_supply operation_performance""
    },
    {
        ""group_id"": 3,
        ""sentences"": [
            ""Thank God my daughter was not hurt.""
        ],
        ""aspect_term"": ""safety"",
        ""opinion_term"": [
            ""Thank God"",
            ""not hurt""
        ],
        ""sentiment_polarity"": ""neutral"",
        ""sentiment_intensity_score"": 0,
        ""category"": ""out_of_scope general""
    },
    {
        ""group_id"": 4,
        ""sentences"": [
            ""Do not buy!!!"",
            ""Garbage!!!!!""
        ],
        ""aspect_term"": ""product quality"",
        ""opinion_term"": [
            ""Do not buy!!!"",
            ""Garbage!!!!!""
        ],
        ""sentiment_polarity"": ""negative"",
        ""sentiment_intensity_score"": -5,
        ""category"": ""company quality""
    }
]
```"
3,B L A Z I N G FAST!!!  I got 6 external vm's running on my Win10 laptop and the disk util was 5%.  I could have run more but my laptop was running out of available ram.,"```json
[
    {
        ""group_id"": 1,
        ""sentences"": [
            ""B L A Z I N G FAST!!!""
        ],
        ""aspect_term"": ""performance"",
        ""opinion_term"": [
            ""B L A Z I N G FAST!!!""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": 5,
        ""category"": ""cpu operation_performance""
    },
    {
        ""group_id"": 2,
        ""sentences"": [
            ""I got 6 external vm's running on my Win10 laptop and the disk util was 5%.""
        ],
        ""aspect_term"": ""disk utilization"",
        ""opinion_term"": [
            ""5%""
        ],
        ""sentiment_polarity"": ""neutral"",
        ""sentiment_intensity_score"": 0,
        ""category"": ""hard_disc operation_performance""
    },
    {
        ""group_id"": 3,
        ""sentences"": [
            ""I could have run more but my laptop was running out of available ram.""
        ],
        ""aspect_term"": ""available ram"",
        ""opinion_term"": [
            ""running out""
        ],
        ""sentiment_polarity"": ""negative"",
        ""sentiment_intensity_score"": -2,
        ""category"": ""memory operation_performance""
    }
]
```"
4,"GREAT quality!! Need a cord to replace the one that came with your device, look no further!!! The short ones are great for purse-charging from a spare battery!","[
    {
        ""group_id"": 1,
        ""sentences"": [
            ""GREAT quality!!""
        ],
        ""aspect_term"": ""quality"",
        ""opinion_term"": [
            ""GREAT""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": 5,
        ""category"": ""laptop quality""
    },
    {
        ""group_id"": 2,
        ""sentences"": [
            ""Need a cord to replace the one that came with your device, look no further!!!""
        ],
        ""aspect_term"": ""cord"",
        ""opinion_term"": [
            ""look no further!!!""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": 4,
        ""category"": ""power_supply connectivity""
    },
    {
        ""group_id"": 3,
        ""sentences"": [
            ""The short ones are great for purse-charging from a spare battery!""
        ],
        ""aspect_term"": ""short cords"",
        ""opinion_term"": [
            ""great""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": 4,
        ""category"": ""battery design_features""
    }
]"
5,"I wish I could rate it zero stars!! It NEVER worked!!! From the moment I turned it on it was frozen. I couldn't access the apps, I couldn't scroll, I couldn't adjust the time. All I could do was turn it on/off. This is the worst purchase I've ever made. I guess I couldn't have expected more based on the price.

I suggest you don't spend your money on this. If you expect quality, you might as well invest on a name brand smart watch.","```json
[
    {
        ""group_id"": 1,
        ""sentences"": [
            ""I wish I could rate it zero stars!! It NEVER worked!!! From the moment I turned it on it was frozen."",
            ""I couldn't access the apps, I couldn't scroll, I couldn't adjust the time."",
            ""All I could do was turn it on/off.""
        ],
        ""aspect_term"": ""functionality"",
        ""opinion_term"": [
            ""zero stars!!"",
            ""NEVER worked!!!"",
            ""frozen.""
        ],
        ""sentiment_polarity"": ""negative"",
        ""sentiment_intensity_score"": -5,
        ""category"": ""laptop operation_performance""
    },
    {
        ""group_id"": 2,
        ""sentences"": [
            ""This is the worst purchase I've ever made.""
        ],
        ""aspect_term"": ""purchase experience"",
        ""opinion_term"": [
            ""worst purchase""
        ],
        ""sentiment_polarity"": ""negative"",
        ""sentiment_intensity_score"": -5,
        ""category"": ""company general""
    },
    {
        ""group_id"": 3,
        ""sentences"": [
            ""I guess I couldn't have expected more based on the price.""
        ],
        ""aspect_term"": ""price"",
        ""opinion_term"": [
            ""couldn't have expected more""
        ],
        ""sentiment_polarity"": ""neutral"",
        ""sentiment_intensity_score"": 0,
        ""category"": ""laptop price""
    },
    {
        ""group_id"": 4,
        ""sentences"": [
            ""I suggest you don't spend your money on this.""
        ],
        ""aspect_term"": ""recommendation"",
        ""opinion_term"": [
            ""don't spend your money""
        ],
        ""sentiment_polarity"": ""negative"",
        ""sentiment_intensity_score"": -3,
        ""category"": ""laptop general""
    },
    {
        ""group_id"": 5,
        ""sentences"": [
            ""If you expect quality, you might as well invest on a name brand smart watch.""
        ],
        ""aspect_term"": ""quality"",
        ""opinion_term"": [
            ""expect quality"",
            ""invest on a name brand""
        ],
        ""sentiment_polarity"": ""neutral"",
        ""sentiment_intensity_score"": 0,
        ""category"": ""laptop quality""
    }
]
```
This output reflects a consensus drawn from the three LLM agents' analyses. The sentiments described across the aspects highlight significant dissatisfaction with the functionality, purchase experience, recommendation, and perception of price and quality related to the product. These conclusions align with the strongest overlap among the agents' assessments."
8,"I bought this to use for editing as I am a photographer! Why they call this ultra sharp is beyond me!!! The screen is still a bit in fuzzy contrast. While reading letters, letters look fuzzy to me! Also this monitor has a tendency to go in sleep mode every few minutes for no reason at all. took 5 attempts just to do the initial startup! Will be returning!!!!","```json
[
    {
        ""group_id"": 1,
        ""sentences"": [
            ""I bought this to use for editing as I am a photographer!""
        ],
        ""aspect_term"": ""editing"",
        ""opinion_term"": [],
        ""sentiment_polarity"": ""neutral"",
        ""sentiment_intensity_score"": 0,
        ""category"": ""out_of_scope general""
    },
    {
        ""group_id"": 2,
        ""sentences"": [
            ""Why they call this ultra sharp is beyond me!!!"",
            ""The screen is still a bit in fuzzy contrast."",
            ""While reading letters, letters look fuzzy to me!""
        ],
        ""aspect_term"": ""screen"",
        ""opinion_term"": [
            ""ultra sharp"",
            ""fuzzy contrast"",
            ""letters look fuzzy""
        ],
        ""sentiment_polarity"": ""negative"",
        ""sentiment_intensity_score"": -4,
        ""category"": ""display quality""
    },
    {
        ""group_id"": 3,
        ""sentences"": [
            ""Also this monitor has a tendency to go in sleep mode every few minutes for no reason at all.""
        ],
        ""aspect_term"": ""sleep mode"",
        ""opinion_term"": [
            ""no reason at all""
        ],
        ""sentiment_polarity"": ""negative"",
        ""sentiment_intensity_score"": -3,
        ""category"": ""display operation_performance""
    },
    {
        ""group_id"": 4,
        ""sentences"": [
            ""took 5 attempts just to do the initial startup!""
        ],
        ""aspect_term"": ""initial startup"",
        ""opinion_term"": [
            ""5 attempts""
        ],
        ""sentiment_polarity"": ""negative"",
        ""sentiment_intensity_score"": -3,
        ""category"": ""os operation_performance""
    },
    {
        ""group_id"": 5,
        ""sentences"": [
            ""Will be returning!!!!""
        ],
        ""aspect_term"": ""return"",
        ""opinion_term"": [
            ""returning!!!!""
        ],
        ""sentiment_polarity"": ""negative"",
        ""sentiment_intensity_score"": -4,
        ""category"": ""out_of_scope general""
    }
]
```"
11,I have the vizio E241i-A1smart tv and it actually works with this remote!  My tv model was not listed as compatible so I took a chance and bought it anyway. The person I bought from had a 30day return offer so I thought why not!  This remote is great the keyboard is much quicker and convient. Love it!!! Hopefully I don't loose this remote=),"```json
[
    {
        ""group_id"": 1,
        ""sentences"": [
            ""I have the vizio E241i-A1smart tv and it actually works with this remote!"",
            ""My tv model was not listed as compatible so I took a chance and bought it anyway.""
        ],
        ""aspect_term"": ""compatibility"",
        ""opinion_term"": [
            ""actually works""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": 2,
        ""category"": ""multimedia_devices usability""
    },
    {
        ""group_id"": 2,
        ""sentences"": [
            ""My tv model was not listed as compatible so I took a chance and bought it anyway.""
        ],
        ""aspect_term"": ""tv model"",
        ""opinion_term"": [
            ""not listed""
        ],
        ""sentiment_polarity"": ""negative"",
        ""sentiment_intensity_score"": -1,
        ""category"": ""multimedia_devices connectivity""
    },
    {
        ""group_id"": 3,
        ""sentences"": [
            ""The person I bought from had a 30day return offer so I thought why not!""
        ],
        ""aspect_term"": ""return offer"",
        ""opinion_term"": [
            ""30day return offer"",
            ""why not!""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": 1,
        ""category"": ""support operation_performance""
    },
    {
        ""group_id"": 4,
        ""sentences"": [
            ""This remote is great the keyboard is much quicker and convenient."",
            ""Love it!!!""
        ],
        ""aspect_term"": ""keyboard"",
        ""opinion_term"": [
            ""great"",
            ""much quicker"",
            ""convenient""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": 4,
        ""category"": ""keyboard usability""
    },
    {
        ""group_id"": 5,
        ""sentences"": [
            ""Love it!!!"",
            ""Hopefully I don't loose this remote=)""
        ],
        ""aspect_term"": ""remote"",
        ""opinion_term"": [
            ""Love it!!!"",
            ""Hopefully I don't loose""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": 5,
        ""category"": ""multimedia_devices usability""
    }
]
```"
12,"I replaced a 640 gb 5400 RPM HD on my HP DV7-4270US laptop with this 7200 RPM and the process went smooth as silk. Since I used Win 7 backup and restore, I have to find a way to move the proprietary partitions so I can get the extra 110 GB onto my C: drive partition.

Quick, quiet, and, incredibly, uses less battery than the OEM drive... WD Black Scorpios, whether on the desktop or laptop are top of the line!!!","Final Consolidated ABSA Result:
```json
[
    {
        ""group_id"": 1,
        ""sentences"": [
            ""I replaced a 640 gb 5400 RPM HD on my HP DV7-4270US laptop with this 7200 RPM and the process went smooth as silk.""
        ],
        ""aspect_term"": ""replacement process"",
        ""opinion_term"": [
            ""smooth as silk""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": 3,
        ""category"": ""hard_disc operation_performance""
    },
    {
        ""group_id"": 2,
        ""sentences"": [
            ""Since I used Win 7 backup and restore, I have to find a way to move the proprietary partitions so I can get the extra 110 GB onto my C: drive partition.""
        ],
        ""aspect_term"": ""partition management"",
        ""opinion_term"": [],
        ""sentiment_polarity"": ""neutral"",
        ""sentiment_intensity_score"": 0,
        ""category"": ""os general""
    },
    {
        ""group_id"": 3,
        ""sentences"": [
            ""Quick, quiet, and, incredibly, uses less battery than the OEM drive...""
        ],
        ""aspect_term"": ""7200 RPM drive performance"",
        ""opinion_term"": [
            ""Quick"",
            ""quiet"",
            ""incredibly""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": 4,
        ""category"": ""hard_disc operation_performance""
    },
    {
        ""group_id"": 4,
        ""sentences"": [
            ""WD Black Scorpios, whether on the desktop or laptop are top of the line!!!""
        ],
        ""aspect_term"": ""WD Black Scorpios"",
        ""opinion_term"": [
            ""top of the line!!!""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": 5,
        ""category"": ""hard_disc quality""
    }
]
```"
13,"Is by far the best looking/performance laptop you'll get in the market, is beautiful, extremely fast, nice finished case, full HD display, i've tried Bioshock Infinite, Tomb Raider, Crysis 3, Dead Space 3 and Metro Last Light all them run smoothly and fluently at 1920x1080 at High-Ultra Settings, is definitively the best buy I could have done!!! This Laptop looks so powerful with the black and red mix that probably everyone I know will be jealous of it, no touchpad problems, everything works properly.

Pros:
-Incredible High Resolution 1920x1080 looks amazing!!!
-Powerful in all sense(Video card, Ram, Processor, HDD Capacity)
-Modern and discrete(outside XD) Design.
-Well configured Software
-Just a Few Bloatware
-Finaly useful Lenovo Software

Cons:

-Fingerprints easily on case (who cares!!)
-So precious and perfect that hurts!!!

Don't hesitate BUY IT!!!","```json
[
    {
        ""group_id"": 1,
        ""sentences"": [
            ""Is by far the best looking/performance laptop you'll get in the market, is beautiful, extremely fast, nice finished case, full HD display.""
        ],
        ""aspect_term"": ""laptop"",
        ""opinion_term"": [
            ""best looking"",
            ""beautiful"",
            ""extremely fast"",
            ""nice finished""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": ""5"",
        ""category"": ""laptop general""
    },
    {
        ""group_id"": 2,
        ""sentences"": [
            ""I've tried Bioshock Infinite, Tomb Raider, Crysis 3, Dead Space 3 and Metro Last Light all them run smoothly and fluently at 1920x1080 at High-Ultra Settings.""
        ],
        ""aspect_term"": ""performance"",
        ""opinion_term"": [
            ""run smoothly"",
            ""fluently"",
            ""High-Ultra Settings""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": ""4"",
        ""category"": ""graphics operation_performance""
    },
    {
        ""group_id"": 3,
        ""sentences"": [
            ""This Laptop looks so powerful with the black and red mix that probably everyone I know will be jealous of it.""
        ],
        ""aspect_term"": ""design"",
        ""opinion_term"": [
            ""looks so powerful"",
            ""jealous of it""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": ""4"",
        ""category"": ""laptop design_features""
    },
    {
        ""group_id"": 4,
        ""sentences"": [
            ""No touchpad problems, everything works properly.""
        ],
        ""aspect_term"": ""touchpad"",
        ""opinion_term"": [
            ""No touchpad problems"",
            ""works properly""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": ""2"",
        ""category"": ""hardware operation_performance""
    },
    {
        ""group_id"": 5,
        ""sentences"": [
            ""Incredible High Resolution 1920x1080 looks amazing!!!""
        ],
        ""aspect_term"": ""resolution"",
        ""opinion_term"": [
            ""Incredible High Resolution"",
            ""looks amazing!!!""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": ""5"",
        ""category"": ""display design_features""
    },
    {
        ""group_id"": 6, 
        ""sentences"": [
            ""Powerful in all sense(Video card, Ram, Processor, HDD Capacity).""
        ],
        ""aspect_term"": ""hardware"",
        ""opinion_term"": [
            ""Powerful in all sense""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": ""4"",
        ""category"": ""hardware design_features""
    },
    {
        ""group_id"": 7,
        ""sentences"": [
            ""Modern and discrete(outside XD) Design.""
        ],
        ""aspect_term"": ""design"",
        ""opinion_term"": [
            ""Modern"",
            ""discrete""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": ""2"",
        ""category"": ""laptop design_features""
    },
    {
        ""group_id"": 8,
        ""sentences"": [
            ""Well configured Software.""
        ],
        ""aspect_term"": ""software"",
        ""opinion_term"": [
            ""Well configured""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": ""2"",
        ""category"": ""software quality""
    },
    {
        ""group_id"": 9,
        ""sentences"": [
            ""Just a Few Bloatware.""
        ],
        ""aspect_term"": ""bloatware"",
        ""opinion_term"": [
            ""Few Bloatware""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": ""2"",
        ""category"": ""software usability""
    },
    {
        ""group_id"": 10,
        ""sentences"": [
            ""Finally useful Lenovo Software.""
        ],
        ""aspect_term"": ""Lenovo Software"",
        ""opinion_term"": [
            ""useful Lenovo Software""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": ""2"",
        ""category"": ""software usability""
    },
    {
        ""group_id"": 11,
        ""sentences"": [
            ""Fingerprints easily on case (who cares!!).""
        ],
        ""aspect_term"": ""case"",
        ""opinion_term"": [
            ""Fingerprints easily""
        ],
        ""sentiment_polarity"": ""neutral"",
        ""sentiment_intensity_score"": ""0"",
        ""category"": ""laptop design_features""
    },
    {
        ""group_id"": 12,
        ""sentences"": [
            ""So precious and perfect that hurts!!!""
        ],
        ""aspect_term"": ""aesthetics"",
        ""opinion_term"": [
            ""precious and perfect"",
            ""hurts!!!""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": ""5"",
        ""category"": ""laptop design_features""
    },
    {
        ""group_id"": 13,
        ""sentences"": [
            ""Is definitively the best buy I could have done!!!"",
            ""Don't hesitate BUY IT!!!""
        ],
        ""aspect_term"": ""purchase"",
        ""opinion_term"": [
            ""best buy"",
            ""Don't hesitate"",
            ""BUY IT""
        ],
        ""sentiment_polarity"": ""positive"",
        ""sentiment_intensity_score"": ""5"",
        ""category"": ""company general""
    }
]
```"
